,Sampling1,Sampling2,Sampling3,Sampling4,Sampling5
M1,0.9739130434782608,0.9753209109730849,0.9770289617875187,0.9936507936507937,0.9891891891891893
M2,0.8782608695652173,0.879059696342305,0.9240740767095994,0.9550443183968658,0.8837837837837839
M3,0.9260869565217391,0.9332608695652174,0.9366928058065893,0.9712341959844735,0.9432432432432433
M4,0.6369565217391304,0.6673188405797101,0.6483217818259446,0.8085209792309431,0.654054054054054
M5,0.7347826086956522,0.7163750862663907,0.7614206219312603,0.9100235860896059,0.7324324324324323
